Beruf,ocr,OhdAB_v,O_1,Normbezeichnungen,OhdAB,OhdAB_01,OhdAB_02,OhdAB_03,OhdAB_04,OhdAB_05,OhdAB_ind,Provenienz,V3,V4,V5
Wirt (z. Zitzen park) u. Bik-tualienhdlr.,,B 63394-162,B,Wirt/in (Gastwirt/in),63394,"Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus","Tourismus-, Hotel- und Gaststättenberufe",Gastronomie,Aufsichts- und Führungskräfte - Gastronomie und Systemgastronomie,Führungskräfte - Gastronomie und Systemgastronomie,162,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Wirt (z..Harmonie),,B 63394-162,B,Wirt/in (Gastwirt/in),63394,"Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus","Tourismus-, Hotel- und Gaststättenberufe",Gastronomie,Aufsichts- und Führungskräfte - Gastronomie und Systemgastronomie,Führungskräfte - Gastronomie und Systemgastronomie,162,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Wirt (z.* Hirschen),,B 63394-162,B,Wirt/in (Gastwirt/in),63394,"Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus","Tourismus-, Hotel- und Gaststättenberufe",Gastronomie,Aufsichts- und Führungskräfte - Gastronomie und Systemgastronomie,Führungskräfte - Gastronomie und Systemgastronomie,162,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Wirt (z.Kanone),,B 63394-162,B,Wirt/in (Gastwirt/in),63394,"Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus","Tourismus-, Hotel- und Gaststättenberufe",Gastronomie,Aufsichts- und Führungskräfte - Gastronomie und Systemgastronomie,Führungskräfte - Gastronomie und Systemgastronomie,162,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Wirt (z.Kastanienhain),,B 63394-162,B,Wirt/in (Gastwirt/in),63394,"Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus","Tourismus-, Hotel- und Gaststättenberufe",Gastronomie,Aufsichts- und Führungskräfte - Gastronomie und Systemgastronomie,Führungskräfte - Gastronomie und Systemgastronomie,162,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Wirt (z.Maxtor),,B 63394-162,B,Wirt/in (Gastwirt/in),63394,"Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus","Tourismus-, Hotel- und Gaststättenberufe",Gastronomie,Aufsichts- und Führungskräfte - Gastronomie und Systemgastronomie,Führungskräfte - Gastronomie und Systemgastronomie,162,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Wirt (z.Stahlroß),,B 63394-162,B,Wirt/in (Gastwirt/in),63394,"Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus","Tourismus-, Hotel- und Gaststättenberufe",Gastronomie,Aufsichts- und Führungskräfte - Gastronomie und Systemgastronomie,Führungskräfte - Gastronomie und Systemgastronomie,162,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Wirt (Zelkner-Bräustübl),,B 63394-162,B,Wirt/in (Gastwirt/in),63394,"Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus","Tourismus-, Hotel- und Gaststättenberufe",Gastronomie,Aufsichts- und Führungskräfte - Gastronomie und Systemgastronomie,Führungskräfte - Gastronomie und Systemgastronomie,162,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Wirt (zu den 2 Zwergen),,B 63394-162,B,Wirt/in (Gastwirt/in),63394,"Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus","Tourismus-, Hotel- und Gaststättenberufe",Gastronomie,Aufsichts- und Führungskräfte - Gastronomie und Systemgastronomie,Führungskräfte - Gastronomie und Systemgastronomie,162,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Wirt (zu den 3 Lilien),,B 63394-162,B,Wirt/in (Gastwirt/in),63394,"Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus","Tourismus-, Hotel- und Gaststättenberufe",Gastronomie,Aufsichts- und Führungskräfte - Gastronomie und Systemgastronomie,Führungskräfte - Gastronomie und Systemgastronomie,162,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Wirt (zu den 5 gold. Türmen),,B 63394-162,B,Wirt/in (Gastwirt/in),63394,"Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus","Tourismus-, Hotel- und Gaststättenberufe",Gastronomie,Aufsichts- und Führungskräfte - Gastronomie und Systemgastronomie,Führungskräfte - Gastronomie und Systemgastronomie,162,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Wirt (zum Abendstcrn),,B 63394-162,B,Wirt/in (Gastwirt/in),63394,"Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus","Tourismus-, Hotel- und Gaststättenberufe",Gastronomie,Aufsichts- und Führungskräfte - Gastronomie und Systemgastronomie,Führungskräfte - Gastronomie und Systemgastronomie,162,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Wirt (zum alten Fritz),,B 63394-162,B,Wirt/in (Gastwirt/in),63394,"Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus","Tourismus-, Hotel- und Gaststättenberufe",Gastronomie,Aufsichts- und Führungskräfte - Gastronomie und Systemgastronomie,Führungskräfte - Gastronomie und Systemgastronomie,162,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Wirt (zum alten Meiersgarten),,B 63394-162,B,Wirt/in (Gastwirt/in),63394,"Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus","Tourismus-, Hotel- und Gaststättenberufe",Gastronomie,Aufsichts- und Führungskräfte - Gastronomie und Systemgastronomie,Führungskräfte - Gastronomie und Systemgastronomie,162,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Wirt (zum deutschen Michel),,B 63394-162,B,Wirt/in (Gastwirt/in),63394,"Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus","Tourismus-, Hotel- und Gaststättenberufe",Gastronomie,Aufsichts- und Führungskräfte - Gastronomie und Systemgastronomie,Führungskräfte - Gastronomie und Systemgastronomie,162,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Wirt (zum Edelweiß),,B 63394-162,B,Wirt/in (Gastwirt/in),63394,"Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus","Tourismus-, Hotel- und Gaststättenberufe",Gastronomie,Aufsichts- und Führungskräfte - Gastronomie und Systemgastronomie,Führungskräfte - Gastronomie und Systemgastronomie,162,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Wirt (zum Eis-baren),,B 63394-162,B,Wirt/in (Gastwirt/in),63394,"Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus","Tourismus-, Hotel- und Gaststättenberufe",Gastronomie,Aufsichts- und Führungskräfte - Gastronomie und Systemgastronomie,Führungskräfte - Gastronomie und Systemgastronomie,162,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Wirt (zum Essigbrätlein),,B 63394-162,B,Wirt/in (Gastwirt/in),63394,"Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus","Tourismus-, Hotel- und Gaststättenberufe",Gastronomie,Aufsichts- und Führungskräfte - Gastronomie und Systemgastronomie,Führungskräfte - Gastronomie und Systemgastronomie,162,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Wirt (zum fliegenden Rad),,B 63394-162,B,Wirt/in (Gastwirt/in),63394,"Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus","Tourismus-, Hotel- und Gaststättenberufe",Gastronomie,Aufsichts- und Führungskräfte - Gastronomie und Systemgastronomie,Führungskräfte - Gastronomie und Systemgastronomie,162,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Wirt (zum Gartlein),,B 63394-162,B,Wirt/in (Gastwirt/in),63394,"Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus","Tourismus-, Hotel- und Gaststättenberufe",Gastronomie,Aufsichts- und Führungskräfte - Gastronomie und Systemgastronomie,Führungskräfte - Gastronomie und Systemgastronomie,162,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Wirt (zum goldnen Hirschen),,B 63394-162,B,Wirt/in (Gastwirt/in),63394,"Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus","Tourismus-, Hotel- und Gaststättenberufe",Gastronomie,Aufsichts- und Führungskräfte - Gastronomie und Systemgastronomie,Führungskräfte - Gastronomie und Systemgastronomie,162,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Wirt (zum großen Kurfürsten),,B 63394-162,B,Wirt/in (Gastwirt/in),63394,"Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus","Tourismus-, Hotel- und Gaststättenberufe",Gastronomie,Aufsichts- und Führungskräfte - Gastronomie und Systemgastronomie,Führungskräfte - Gastronomie und Systemgastronomie,162,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Wirt (zum grünen Wald),,B 63394-162,B,Wirt/in (Gastwirt/in),63394,"Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus","Tourismus-, Hotel- und Gaststättenberufe",Gastronomie,Aufsichts- und Führungskräfte - Gastronomie und Systemgastronomie,Führungskräfte - Gastronomie und Systemgastronomie,162,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Wirt (zum Hallertor),,B 63394-162,B,Wirt/in (Gastwirt/in),63394,"Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus","Tourismus-, Hotel- und Gaststättenberufe",Gastronomie,Aufsichts- und Führungskräfte - Gastronomie und Systemgastronomie,Führungskräfte - Gastronomie und Systemgastronomie,162,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Wirt (zum Klee-blatt),,B 63394-162,B,Wirt/in (Gastwirt/in),63394,"Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus","Tourismus-, Hotel- und Gaststättenberufe",Gastronomie,Aufsichts- und Führungskräfte - Gastronomie und Systemgastronomie,Führungskräfte - Gastronomie und Systemgastronomie,162,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Wirt (zum Kölner Hof),,B 63394-162,B,Wirt/in (Gastwirt/in),63394,"Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus","Tourismus-, Hotel- und Gaststättenberufe",Gastronomie,Aufsichts- und Führungskräfte - Gastronomie und Systemgastronomie,Führungskräfte - Gastronomie und Systemgastronomie,162,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Wirt (zum letzten Heller),,B 63394-162,B,Wirt/in (Gastwirt/in),63394,"Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus","Tourismus-, Hotel- und Gaststättenberufe",Gastronomie,Aufsichts- und Führungskräfte - Gastronomie und Systemgastronomie,Führungskräfte - Gastronomie und Systemgastronomie,162,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Wirt (zum Löbleins-!brunneit),,B 63394-162,B,Wirt/in (Gastwirt/in),63394,"Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus","Tourismus-, Hotel- und Gaststättenberufe",Gastronomie,Aufsichts- und Führungskräfte - Gastronomie und Systemgastronomie,Führungskräfte - Gastronomie und Systemgastronomie,162,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Wirt (zum Mohren-kops),,B 63394-162,B,Wirt/in (Gastwirt/in),63394,"Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus","Tourismus-, Hotel- und Gaststättenberufe",Gastronomie,Aufsichts- und Führungskräfte - Gastronomie und Systemgastronomie,Führungskräfte - Gastronomie und Systemgastronomie,162,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Wirt (zum Morgenstern),,B 63394-162,B,Wirt/in (Gastwirt/in),63394,"Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus","Tourismus-, Hotel- und Gaststättenberufe",Gastronomie,Aufsichts- und Führungskräfte - Gastronomie und Systemgastronomie,Führungskräfte - Gastronomie und Systemgastronomie,162,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Wirt (zum Müllersgartcu),,B 63394-162,B,Wirt/in (Gastwirt/in),63394,"Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus","Tourismus-, Hotel- und Gaststättenberufe",Gastronomie,Aufsichts- und Führungskräfte - Gastronomie und Systemgastronomie,Führungskräfte - Gastronomie und Systemgastronomie,162,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Wirt (zum Prinz Ferdinand),,B 63394-162,B,Wirt/in (Gastwirt/in),63394,"Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus","Tourismus-, Hotel- und Gaststättenberufe",Gastronomie,Aufsichts- und Führungskräfte - Gastronomie und Systemgastronomie,Führungskräfte - Gastronomie und Systemgastronomie,162,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Wirt (zum Radfahrer),,B 63394-162,B,Wirt/in (Gastwirt/in),63394,"Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus","Tourismus-, Hotel- und Gaststättenberufe",Gastronomie,Aufsichts- und Führungskräfte - Gastronomie und Systemgastronomie,Führungskräfte - Gastronomie und Systemgastronomie,162,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Wirt (zum roten Ochsen),,B 63394-162,B,Wirt/in (Gastwirt/in),63394,"Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus","Tourismus-, Hotel- und Gaststättenberufe",Gastronomie,Aufsichts- und Führungskräfte - Gastronomie und Systemgastronomie,Führungskräfte - Gastronomie und Systemgastronomie,162,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Wirt (zum Schloß Berg),,B 63394-162,B,Wirt/in (Gastwirt/in),63394,"Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus","Tourismus-, Hotel- und Gaststättenberufe",Gastronomie,Aufsichts- und Führungskräfte - Gastronomie und Systemgastronomie,Führungskräfte - Gastronomie und Systemgastronomie,162,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Wirt (zum Schwänlein),,B 63394-162,B,Wirt/in (Gastwirt/in),63394,"Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus","Tourismus-, Hotel- und Gaststättenberufe",Gastronomie,Aufsichts- und Führungskräfte - Gastronomie und Systemgastronomie,Führungskräfte - Gastronomie und Systemgastronomie,162,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Wirt (zum schwarzen Walfisch),,B 63394-162,B,Wirt/in (Gastwirt/in),63394,"Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus","Tourismus-, Hotel- und Gaststättenberufe",Gastronomie,Aufsichts- und Führungskräfte - Gastronomie und Systemgastronomie,Führungskräfte - Gastronomie und Systemgastronomie,162,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Wirt (zum Sensenschmied),,B 63394-162,B,Wirt/in (Gastwirt/in),63394,"Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus","Tourismus-, Hotel- und Gaststättenberufe",Gastronomie,Aufsichts- und Führungskräfte - Gastronomie und Systemgastronomie,Führungskräfte - Gastronomie und Systemgastronomie,162,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Wirt (zum silbernen Löwen),,B 63394-162,B,Wirt/in (Gastwirt/in),63394,"Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus","Tourismus-, Hotel- und Gaststättenberufe",Gastronomie,Aufsichts- und Führungskräfte - Gastronomie und Systemgastronomie,Führungskräfte - Gastronomie und Systemgastronomie,162,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Wirt (zum St. Jakob),,B 63394-162,B,Wirt/in (Gastwirt/in),63394,"Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus","Tourismus-, Hotel- und Gaststättenberufe",Gastronomie,Aufsichts- und Führungskräfte - Gastronomie und Systemgastronomie,Führungskräfte - Gastronomie und Systemgastronomie,162,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Wirt (zum Stachus),,B 63394-162,B,Wirt/in (Gastwirt/in),63394,"Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus","Tourismus-, Hotel- und Gaststättenberufe",Gastronomie,Aufsichts- und Führungskräfte - Gastronomie und Systemgastronomie,Führungskräfte - Gastronomie und Systemgastronomie,162,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Wirt (zum Stahlroß),,B 63394-162,B,Wirt/in (Gastwirt/in),63394,"Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus","Tourismus-, Hotel- und Gaststättenberufe",Gastronomie,Aufsichts- und Führungskräfte - Gastronomie und Systemgastronomie,Führungskräfte - Gastronomie und Systemgastronomie,162,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Wirt (zum Tegernsee),,B 63394-162,B,Wirt/in (Gastwirt/in),63394,"Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus","Tourismus-, Hotel- und Gaststättenberufe",Gastronomie,Aufsichts- und Führungskräfte - Gastronomie und Systemgastronomie,Führungskräfte - Gastronomie und Systemgastronomie,162,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Wirt (zum Thüringer Hof),,B 63394-162,B,Wirt/in (Gastwirt/in),63394,"Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus","Tourismus-, Hotel- und Gaststättenberufe",Gastronomie,Aufsichts- und Führungskräfte - Gastronomie und Systemgastronomie,Führungskräfte - Gastronomie und Systemgastronomie,162,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Wirt (zum Weichselbaum),,B 63394-162,B,Wirt/in (Gastwirt/in),63394,"Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus","Tourismus-, Hotel- und Gaststättenberufe",Gastronomie,Aufsichts- und Führungskräfte - Gastronomie und Systemgastronomie,Führungskräfte - Gastronomie und Systemgastronomie,162,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Wirt (zur Brandenburg),,B 63394-162,B,Wirt/in (Gastwirt/in),63394,"Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus","Tourismus-, Hotel- und Gaststättenberufe",Gastronomie,Aufsichts- und Führungskräfte - Gastronomie und Systemgastronomie,Führungskräfte - Gastronomie und Systemgastronomie,162,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Wirt (zur Bratwurstküche),,B 63394-162,B,Wirt/in (Gastwirt/in),63394,"Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus","Tourismus-, Hotel- und Gaststättenberufe",Gastronomie,Aufsichts- und Führungskräfte - Gastronomie und Systemgastronomie,Führungskräfte - Gastronomie und Systemgastronomie,162,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Wirt (zur Fortuna),,B 63394-162,B,Wirt/in (Gastwirt/in),63394,"Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus","Tourismus-, Hotel- und Gaststättenberufe",Gastronomie,Aufsichts- und Führungskräfte - Gastronomie und Systemgastronomie,Führungskräfte - Gastronomie und Systemgastronomie,162,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Wirt (zur goldenen Linde),,B 63394-162,B,Wirt/in (Gastwirt/in),63394,"Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus","Tourismus-, Hotel- und Gaststättenberufe",Gastronomie,Aufsichts- und Führungskräfte - Gastronomie und Systemgastronomie,Führungskräfte - Gastronomie und Systemgastronomie,162,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Wirt (zur goldnen Krone),,B 63394-162,B,Wirt/in (Gastwirt/in),63394,"Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus","Tourismus-, Hotel- und Gaststättenberufe",Gastronomie,Aufsichts- und Führungskräfte - Gastronomie und Systemgastronomie,Führungskräfte - Gastronomie und Systemgastronomie,162,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Wirt (zur Jägersruh),,B 63394-162,B,Wirt/in (Gastwirt/in),63394,"Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus","Tourismus-, Hotel- und Gaststättenberufe",Gastronomie,Aufsichts- und Führungskräfte - Gastronomie und Systemgastronomie,Führungskräfte - Gastronomie und Systemgastronomie,162,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Wirt (zur Lindenhalle),,B 63394-162,B,Wirt/in (Gastwirt/in),63394,"Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus","Tourismus-, Hotel- und Gaststättenberufe",Gastronomie,Aufsichts- und Führungskräfte - Gastronomie und Systemgastronomie,Führungskräfte - Gastronomie und Systemgastronomie,162,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Wirt (zur Lüneburge rHaide),,B 63394-162,B,Wirt/in (Gastwirt/in),63394,"Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus","Tourismus-, Hotel- und Gaststättenberufe",Gastronomie,Aufsichts- und Führungskräfte - Gastronomie und Systemgastronomie,Führungskräfte - Gastronomie und Systemgastronomie,162,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Wirt (zur Maschinen-halle),,B 63394-162,B,Wirt/in (Gastwirt/in),63394,"Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus","Tourismus-, Hotel- und Gaststättenberufe",Gastronomie,Aufsichts- und Führungskräfte - Gastronomie und Systemgastronomie,Führungskräfte - Gastronomie und Systemgastronomie,162,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Wirt (zur Nordbahnhallc),,B 63394-162,B,Wirt/in (Gastwirt/in),63394,"Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus","Tourismus-, Hotel- und Gaststättenberufe",Gastronomie,Aufsichts- und Führungskräfte - Gastronomie und Systemgastronomie,Führungskräfte - Gastronomie und Systemgastronomie,162,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Wirt (zur Schildkröte),,B 63394-162,B,Wirt/in (Gastwirt/in),63394,"Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus","Tourismus-, Hotel- und Gaststättenberufe",Gastronomie,Aufsichts- und Führungskräfte - Gastronomie und Systemgastronomie,Führungskräfte - Gastronomie und Systemgastronomie,162,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Wirt (zur Schranke),,B 63394-162,B,Wirt/in (Gastwirt/in),63394,"Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus","Tourismus-, Hotel- und Gaststättenberufe",Gastronomie,Aufsichts- und Führungskräfte - Gastronomie und Systemgastronomie,Führungskräfte - Gastronomie und Systemgastronomie,162,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Wirt (zur Stadt Florenz),,B 63394-162,B,Wirt/in (Gastwirt/in),63394,"Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus","Tourismus-, Hotel- und Gaststättenberufe",Gastronomie,Aufsichts- und Führungskräfte - Gastronomie und Systemgastronomie,Führungskräfte - Gastronomie und Systemgastronomie,162,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Wirt (zur Stadt Lindau),,B 63394-162,B,Wirt/in (Gastwirt/in),63394,"Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus","Tourismus-, Hotel- und Gaststättenberufe",Gastronomie,Aufsichts- und Führungskräfte - Gastronomie und Systemgastronomie,Führungskräfte - Gastronomie und Systemgastronomie,162,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Wirt (zur Stadt Reichenhall),,B 63394-162,B,Wirt/in (Gastwirt/in),63394,"Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus","Tourismus-, Hotel- und Gaststättenberufe",Gastronomie,Aufsichts- und Führungskräfte - Gastronomie und Systemgastronomie,Führungskräfte - Gastronomie und Systemgastronomie,162,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Wirt (zur Stadt Wartenfels),,B 63394-162,B,Wirt/in (Gastwirt/in),63394,"Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus","Tourismus-, Hotel- und Gaststättenberufe",Gastronomie,Aufsichts- und Führungskräfte - Gastronomie und Systemgastronomie,Führungskräfte - Gastronomie und Systemgastronomie,162,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
