Beruf,ocr,OhdAB_v,O_1,Normbezeichnungen,OhdAB,OhdAB_01,OhdAB_02,OhdAB_03,OhdAB_04,OhdAB_05,OhdAB_ind,Provenienz,V3,V4,V5
Gärtner,,B 12102-104,B,Gärtner/in,12102,"Land-, Forst- und Tierwirtschaft und Gartenbau",Gartenbauberufe und Floristik,Gartenbau,Berufe im Gartenbau ohne Spezialisierung,Berufe im Gartenbau (ohne Spezialisierung) - fachlich ausgerichtete Tätigkeiten,104,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Gärtner,,B 12102-104,B,Gärtner/in,12102,"Land-, Forst- und Tierwirtschaft und Gartenbau",Gartenbauberufe und Floristik,Gartenbau,Berufe im Gartenbau ohne Spezialisierung,Berufe im Gartenbau (ohne Spezialisierung) - fachlich ausgerichtete Tätigkeiten,104,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Gärtnergehilfe,,B 12101-100,B,Gärtnergehilf(e/in),12101,"Land-, Forst- und Tierwirtschaft und Gartenbau",Gartenbauberufe und Floristik,Gartenbau,Berufe im Gartenbau ohne Spezialisierung,Berufe im Gartenbau (ohne Spezialisierung) - Helfer-/Anlerntätigkeiten,100,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Gärtnern. Milchhdlr.,,B 12102-104,B,Gärtner/in,12102,"Land-, Forst- und Tierwirtschaft und Gartenbau",Gartenbauberufe und Floristik,Gartenbau,Berufe im Gartenbau ohne Spezialisierung,Berufe im Gartenbau (ohne Spezialisierung) - fachlich ausgerichtete Tätigkeiten,104,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Gärtnersfrau,,B 12102-104,B,Gärtner/in,12102,"Land-, Forst- und Tierwirtschaft und Gartenbau",Gartenbauberufe und Floristik,Gartenbau,Berufe im Gartenbau ohne Spezialisierung,Berufe im Gartenbau (ohne Spezialisierung) - fachlich ausgerichtete Tätigkeiten,104,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Gärtnersivitwe,,B 12102-104,B,Gärtner/in,12102,"Land-, Forst- und Tierwirtschaft und Gartenbau",Gartenbauberufe und Floristik,Gartenbau,Berufe im Gartenbau ohne Spezialisierung,Berufe im Gartenbau (ohne Spezialisierung) - fachlich ausgerichtete Tätigkeiten,104,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Gärtnerswe.,,B 12102-104,B,Gärtner/in,12102,"Land-, Forst- und Tierwirtschaft und Gartenbau",Gartenbauberufe und Floristik,Gartenbau,Berufe im Gartenbau ohne Spezialisierung,Berufe im Gartenbau (ohne Spezialisierung) - fachlich ausgerichtete Tätigkeiten,104,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Gärtnerswilwe,,B 12102-104,B,Gärtner/in,12102,"Land-, Forst- und Tierwirtschaft und Gartenbau",Gartenbauberufe und Floristik,Gartenbau,Berufe im Gartenbau ohne Spezialisierung,Berufe im Gartenbau (ohne Spezialisierung) - fachlich ausgerichtete Tätigkeiten,104,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Gärtnerswitwe,,B 12102-104,B,Gärtner/in,12102,"Land-, Forst- und Tierwirtschaft und Gartenbau",Gartenbauberufe und Floristik,Gartenbau,Berufe im Gartenbau ohne Spezialisierung,Berufe im Gartenbau (ohne Spezialisierung) - fachlich ausgerichtete Tätigkeiten,104,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Gäsarbeiter,,B 26231-501,B,Gasarbeiter/in,26231,"Rohstoffgewinnung, Produktion und Fertigung","Mechatronik-, Energie- und Elektroberufe",Energietechnik,Berufe in der Energie- und Kraftwerkstechnik,26231,501,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Generalmajorswe.,,B 01104-117,B,Generalmajor,1104,Militär,Angehörige der regulären und besonderer Streitkräfte,Offiziere,Offiziere,Offiziere,117,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Generalvertreter,,B 61123-138,B,Generalvertreter/in,61123,"Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus","Einkaufs-, Vertriebs- und Handelsberufe",Einkauf und Vertrieb,Berufe im Vertrieb außer Informations- und Kommunikationstechnologien,Berufe im Vertrieb (außer Informations- und Kommunikationstechnologien) - komplexe Spezialistentätigkeiten,138,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Genossenschaftsrevisor,,B 72244-517,B,,72244,"Unternehmensorganisation, Buchhaltung, Recht und Verwaltung","Berufe in Finanzdienstleistungen, Rechnungswesen und Steuerberatung","Rechnungswesen, Controlling und Revision",Berufe in Wirtschaftsprüfung,Berufe in Wirtschaftsprüfung - hoch komplexe Tätigkeiten,517,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Geomelerpraktikt.,,B 31212-509,B,,31212,"Bau, Architektur, Vermessung und Gebäudetechnik","Bauplanungs-, Architektur- und Vermessungsberufe",Vermessung und Kartografie,Berufe in der Vermessungstechnik,Berufe in der Vermessungstechnik - fachlich ausgerichtete Tätigkeiten,509,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Geometerswe.,,B 31214-106,B,Geometer/in,31214,"Bau, Architektur, Vermessung und Gebäudetechnik","Bauplanungs-, Architektur- und Vermessungsberufe",Vermessung und Kartografie,Berufe in der Vermessungstechnik,Berufe in der Vermessungstechnik - hoch komplexe Tätigkeiten,106,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
gepr. Lehramtskandidat,,B 84124-514,B,Lehramtskandidat/in,84124,"Gesundheit, Soziales, Lehre und Erziehung",Lehrende und ausbildende Berufe,Lehrtätigkeit an allgemeinbildenden Schulen,Lehrkräfte in der Sekundarstufe,Lehrkräfte in der Sekundarstufe - hoch komplexe Tätigkeiten,514,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
